stock_code
002052.SZ
300492.SZ
600132.SH
600221.SH
600281.SH
600661.SH
300502.SZ
300972.SZ
600610.SH
605499.SH
300442.SZ
002121.SZ
600593.SH
920045.BJ
688648.SH
002564.SZ
000981.SZ
002668.SZ
601336.SH
300533.SZ
300573.SZ
920982.BJ
600809.SH
300394.SZ
300308.SZ
301317.SZ
002612.SZ
002847.SZ
600666.SH
601628.SH
300476.SZ
300274.SZ
002248.SZ
688578.SH
002553.SZ
300456.SZ
002172.SZ
603699.SH
601899.SH
600329.SH
000526.SZ
688256.SH
603737.SH
600961.SH
600519.SH
605117.SH
603025.SH
600066.SH
601127.SH
300251.SZ
600671.SH
688278.SH
002027.SZ
002032.SZ
603322.SH
689009.SH
603929.SH
688183.SH
001221.SZ
300604.SZ
920037.BJ
603444.SH
920159.BJ
300926.SZ
688617.SH
002905.SZ
688313.SH
603379.SH
002778.SZ
688208.SH
000568.SZ
300641.SZ
300724.SZ
001389.SZ
920183.BJ
920106.BJ
300628.SZ
300967.SZ
601020.SH
920007.BJ
605098.SH
600550.SH
002463.SZ
002517.SZ
920022.BJ
920112.BJ
600285.SH
600011.SH
300866.SZ
301015.SZ
688019.SH
920119.BJ
600096.SH
688809.SH
603129.SH
603665.SH
600873.SH
603092.SH
600989.SH
300760.SZ
301042.SZ
603893.SH
002170.SZ
603173.SH
600660.SH
002043.SZ
603529.SH
002714.SZ
603259.SH
300857.SZ
600988.SH
002690.SZ
920121.BJ
301668.SZ
920395.BJ
301031.SZ
600744.SH
300269.SZ
603993.SH
301004.SZ
601112.SH
600887.SH
000895.SZ
688775.SH
002946.SZ
000408.SZ
603195.SH
603605.SH
300163.SZ
603486.SH
920239.BJ
301345.SZ
920978.BJ
002920.SZ
300415.SZ
300181.SZ
300893.SZ
603979.SH
002270.SZ
600211.SH
000975.SZ
605099.SH
600867.SH
920029.BJ
300750.SZ
001233.SZ
605333.SH
920036.BJ
920523.BJ
002555.SZ
600600.SH
002001.SZ
920188.BJ
920020.BJ
000921.SZ
301061.SZ
600750.SH
300043.SZ
601168.SH
601991.SH
003006.SZ
603049.SH
002928.SZ
600160.SH
600598.SH
000333.SZ
603418.SH
603236.SH
002595.SZ
002311.SZ
920976.BJ
603376.SH
002801.SZ
920015.BJ
920599.BJ
301449.SZ
002290.SZ
300570.SZ
300910.SZ
603766.SH
603298.SH
603103.SH
600563.SH
002028.SZ
002602.SZ
300033.SZ
688625.SH
601717.SH
601319.SH
600415.SH
002318.SZ
003041.SZ
920699.BJ
688018.SH
605305.SH
920839.BJ
000426.SZ
920187.BJ
002315.SZ
601601.SH
603277.SH
605599.SH
300487.SZ
603998.SH
600183.SH
603369.SH
688188.SH
000596.SZ
603288.SH
600769.SH
002489.SZ
301606.SZ
000858.SZ
603202.SH
605020.SH
000933.SZ
002997.SZ
601702.SH
688213.SH
002371.SZ
688726.SH
601600.SH
688082.SH
002475.SZ
000651.SZ
002916.SZ
603568.SH
002546.SZ
688411.SH
603530.SH
688093.SH
002884.SZ
301611.SZ
603338.SH
601126.SH
301656.SZ
603676.SH
